,location,type,subtype,price,room_number,area,kitchen_equipped,furnished,fireplace,terrace,terrace_area,garden,garden_area,land_surface,facade_count,swimming_pool,building_condition,Commune,Sous_Commune,Commune_Principale,Province,Region
2844,8520,APARTMENT,APARTMENT,169000.0,2,91.0,1,0,0,0,,1,22.0,,2.0,0,GOOD,Kuurne,Non,KUURNE,FLANDRE-OCCIDENTALE,VLAANDEREN
2845,9600,HOUSE,HOUSE,239900.0,4,186.0,1,0,0,1,10.0,1,20.0,133.0,2.0,0,JUST_RENOVATED,Renaix,Non,RENAIX,FLANDRE-ORIENTALE,VLAANDEREN
2846,8400,APARTMENT,APARTMENT,35000.0,1,,0,0,0,0,,0,,,,0,,Oostende,Non,OOSTENDE,FLANDRE-OCCIDENTALE,VLAANDEREN
2847,8800,HOUSE,VILLA,849000.0,4,311.0,1,0,0,1,30.0,1,,1368.0,,0,GOOD,Roeselare,Non,ROESELARE,FLANDRE-OCCIDENTALE,VLAANDEREN
2848,1040,HOUSE,APARTMENT_BLOCK,1100000.0,4,312.0,1,0,0,0,,0,,105.0,2.0,0,GOOD,Etterbeek,Non,ETTERBEEK,BRUXELLES,BRUXELLES
2849,9000,APARTMENT,APARTMENT,298000.0,2,88.0,0,0,0,1,,0,,,2.0,0,GOOD,Gent,Non,GENT,FLANDRE-ORIENTALE,VLAANDEREN
2850,1020,APARTMENT,APARTMENT,225000.0,2,89.0,1,0,0,1,7.0,0,,,,0,AS_NEW,Laeken,Oui,BRUXELLES,BRUXELLES,BRUXELLES
2851,1180,APARTMENT,APARTMENT,422500.0,3,116.0,1,0,0,1,9.0,0,,,4.0,0,,Uccle,Non,UCCLE,BRUXELLES,BRUXELLES
2852,8400,HOUSE,HOUSE,180000.0,3,,0,0,0,0,,0,,65.0,,0,,Oostende,Non,OOSTENDE,FLANDRE-OCCIDENTALE,VLAANDEREN
2853,8930,HOUSE,HOUSE,165000.0,2,196.0,1,0,0,1,7.0,0,,131.0,,0,AS_NEW,Menen,Non,MENEN,FLANDRE-OCCIDENTALE,VLAANDEREN
2854,1180,APARTMENT,PENTHOUSE,1850000.0,4,300.0,1,0,1,0,,0,,,4.0,0,AS_NEW,Uccle,Non,UCCLE,BRUXELLES,BRUXELLES
2855,6810,HOUSE,APARTMENT_BLOCK,215000.0,4,255.0,1,0,0,0,,0,,0.0,2.0,0,GOOD,Chiny,Non,CHINY,LUXEMBOURG,WALLONIE
2856,4280,HOUSE,HOUSE,110000.0,3,,0,0,0,1,,0,,0.0,2.0,0,TO_BE_DONE_UP,Hannut,Non,HANNUT,LIEGE,WALLONIE
2857,9820,APARTMENT,APARTMENT,287560.0,2,89.0,0,0,0,1,10.0,0,,,,0,,Merelbeke,Non,MERELBEKE,FLANDRE-ORIENTALE,VLAANDEREN
2858,1950,HOUSE,VILLA,845000.0,4,210.0,1,0,0,1,22.0,1,590.0,700.0,4.0,0,AS_NEW,Kraainem,Non,KRAAINEM,BRABANT FLAMAND,VLAANDEREN
2859,9255,APARTMENT,APARTMENT,454000.0,3,138.0,0,0,0,1,,1,,,,0,AS_NEW,Buggenhout,Non,BUGGENHOUT,FLANDRE-ORIENTALE,VLAANDEREN
2860,1853,HOUSE,HOUSE,250000.0,3,120.0,1,0,0,0,,1,27.0,0.0,2.0,0,JUST_RENOVATED,Strombeek-Bever,Oui,GRIMBERGEN,BRABANT FLAMAND,VLAANDEREN
2861,4670,HOUSE,HOUSE,265000.0,3,130.0,0,0,0,1,17.0,1,64.0,0.0,2.0,0,AS_NEW,Blégny,Non,BLÉGNY,LIEGE,WALLONIE
2862,1653,HOUSE,MIXED_USE_BUILDING,549000.0,2,400.0,0,0,0,1,30.0,0,,335.0,3.0,0,GOOD,Dworp,Oui,BEERSEL,BRABANT FLAMAND,VLAANDEREN
2863,2400,APARTMENT,APARTMENT,179000.0,1,76.0,1,0,0,1,8.0,1,,,4.0,0,,Mol,Non,MOL,ANVERS,VLAANDEREN
2864,8300,APARTMENT,APARTMENT,1950000.0,3,153.0,1,0,0,1,6.0,0,,,,0,AS_NEW,Knokke,Oui,KNOKKE-HEIST,FLANDRE-OCCIDENTALE,VLAANDEREN
2865,1040,APARTMENT,APARTMENT,575000.0,3,196.0,1,0,0,1,16.0,0,,,2.0,0,AS_NEW,Etterbeek,Non,ETTERBEEK,BRUXELLES,BRUXELLES
2866,1050,APARTMENT,PENTHOUSE,1190000.0,3,187.0,1,0,0,1,73.0,0,,,3.0,0,,Ixelles,Non,IXELLES,BRUXELLES,BRUXELLES
2867,4540,APARTMENT,APARTMENT,181500.0,2,89.0,1,0,0,1,6.0,0,,,4.0,0,,Amay,Non,AMAY,LIEGE,WALLONIE
2868,7500,HOUSE,HOUSE,445000.0,5,330.0,1,0,0,1,,0,,233.0,2.0,0,GOOD,Tournai,Non,TOURNAI,HAINAUT,WALLONIE
2869,9820,HOUSE,VILLA,429000.0,2,135.0,1,0,0,1,,0,,550.0,,0,GOOD,Merelbeke,Non,MERELBEKE,FLANDRE-ORIENTALE,VLAANDEREN
2870,8670,APARTMENT,APARTMENT,249000.0,2,,0,0,0,0,,0,,,2.0,0,,Koksijde,Non,KOKSIJDE,FLANDRE-OCCIDENTALE,VLAANDEREN
2871,1000,APARTMENT,APARTMENT,252000.0,1,75.0,1,0,0,1,5.0,0,,,,0,AS_NEW,Bruxelles,Non,BRUXELLES,BRUXELLES,BRUXELLES
2872,1390,HOUSE,HOUSE,335000.0,3,220.0,1,0,0,1,,0,,430.0,4.0,0,,Grez-Doiceau,Non,GREZ-DOICEAU,BRABANT WALLON,WALLONIE
2873,4000,APARTMENT,APARTMENT,242500.0,2,93.0,0,0,0,1,,0,,,,0,,Liège,Non,LIÈGE,LIEGE,WALLONIE
2874,9930,HOUSE,HOUSE,561230.0,3,,1,0,0,0,,0,,854.0,4.0,0,AS_NEW,Zomergem,Oui,LIEVEGEM,FLANDRE-ORIENTALE,VLAANDEREN
2875,1150,HOUSE,HOUSE,815000.0,4,180.0,1,0,0,1,,0,,0.0,,0,GOOD,Woluwe-Saint-Pierre,Non,WOLUWE-SAINT-PIERRE,BRUXELLES,BRUXELLES
2876,1770,HOUSE,BUNGALOW,425000.0,2,204.0,1,0,0,1,,1,921.0,921.0,,0,TO_RENOVATE,Liedekerke,Non,LIEDEKERKE,BRABANT FLAMAND,VLAANDEREN
2877,8400,APARTMENT,APARTMENT,169000.0,1,77.0,1,0,0,0,,0,,,,0,GOOD,Oostende,Non,OOSTENDE,FLANDRE-OCCIDENTALE,VLAANDEREN
2878,3390,HOUSE,HOUSE,388000.0,3,160.0,0,0,0,0,,1,,650.0,,0,,Houwaart,Oui,TIELT-WINGE,BRABANT FLAMAND,VLAANDEREN
2879,8820,APARTMENT,APARTMENT,121000.0,1,50.0,1,0,0,0,,1,,,,0,AS_NEW,Torhout,Non,TORHOUT,FLANDRE-OCCIDENTALE,VLAANDEREN
2880,9990,HOUSE,VILLA,515000.0,5,384.0,1,0,0,1,60.0,1,2448.0,2640.0,,0,AS_NEW,Maldegem,Non,MALDEGEM,FLANDRE-ORIENTALE,VLAANDEREN
2881,1435,APARTMENT,APARTMENT,279000.0,2,89.0,1,0,0,1,9.0,0,,,,0,,Mont-Saint-Guibert,Non,MONT-SAINT-GUIBERT,BRABANT WALLON,WALLONIE
2882,4845,APARTMENT,APARTMENT,249000.0,2,91.0,1,0,0,0,,0,,,3.0,0,,Jalhay,Non,JALHAY,LIEGE,WALLONIE
2883,9991,APARTMENT,APARTMENT,142700.0,1,53.0,1,0,0,0,,0,,,2.0,0,AS_NEW,Adegem,Oui,MALDEGEM,FLANDRE-ORIENTALE,VLAANDEREN
2884,1080,APARTMENT,PENTHOUSE,295000.0,2,96.0,1,0,0,1,150.0,0,,,3.0,0,GOOD,Molenbeek-Saint-Jean,Non,MOLENBEEK-SAINT-JEAN,BRUXELLES,BRUXELLES
2885,3300,HOUSE,MIXED_USE_BUILDING,749000.0,3,325.0,1,0,0,1,15.0,0,,241.0,2.0,0,GOOD,Tienen,Non,TIENEN,BRABANT FLAMAND,VLAANDEREN
2886,3670,APARTMENT,APARTMENT,168524.0,1,62.0,0,0,0,1,,0,,,,0,,Ellikom,Oui,OUDSBERGEN,LIMBOURG,VLAANDEREN
